,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
lam[3139],1.5,0.733,0.315,2.7,0.007,0.005,12771.0,6461.0,1.0
lam[3140],1.335,0.777,0.057,2.557,0.008,0.006,10434.0,6323.0,1.0
lam[3141],1.001,0.828,-0.392,2.325,0.008,0.007,11341.0,6203.0,1.0
lam[3142],0.579,0.862,-0.885,1.942,0.008,0.008,11020.0,5861.0,1.0
lam[3143],0.161,0.944,-1.412,1.697,0.009,0.011,10337.0,5825.0,1.0
lam[3144],-0.139,0.98,-1.776,1.434,0.01,0.011,10187.0,6253.0,1.0
lam[3145],-0.289,0.987,-1.941,1.285,0.01,0.01,9652.0,6438.0,1.0
lam[3146],-0.339,0.994,-2.007,1.257,0.01,0.01,10142.0,6019.0,1.0
lam[3147],-0.35,0.99,-1.953,1.279,0.01,0.01,10058.0,6582.0,1.0
lam[3148],-0.346,0.992,-1.915,1.342,0.01,0.01,9947.0,6329.0,1.0
lam[3149],-0.347,0.996,-1.993,1.271,0.01,0.011,9536.0,5697.0,1.0
lam[3150],-0.351,0.991,-1.962,1.312,0.01,0.01,8960.0,6297.0,1.0
lam[3151],-0.348,0.994,-1.991,1.274,0.01,0.011,9871.0,5826.0,1.0
lam[3152],-0.349,0.994,-1.94,1.317,0.01,0.01,10087.0,6469.0,1.0
lam[3153],-0.344,1.001,-1.921,1.366,0.01,0.011,10323.0,6230.0,1.0
lam[3154],-0.34,1.015,-1.936,1.388,0.01,0.011,9554.0,5693.0,1.0
lam[3155],-0.349,1.02,-2.009,1.308,0.01,0.011,9890.0,6160.0,1.0
lam[3156],-0.353,1.006,-2.005,1.29,0.01,0.011,9803.0,5660.0,1.0
lam[3157],-0.341,0.984,-1.954,1.237,0.01,0.01,9769.0,6333.0,1.0
lam[3158],-0.304,0.984,-1.857,1.35,0.01,0.011,10183.0,5915.0,1.0
lam[3159],-0.23,0.998,-1.838,1.472,0.01,0.011,10051.0,6368.0,1.0
lam[3160],-0.219,1.008,-1.897,1.394,0.01,0.011,9827.0,5963.0,1.0
lam[3161],-0.307,0.989,-1.929,1.306,0.01,0.011,9551.0,6132.0,1.0
lam[3162],-0.35,0.986,-1.946,1.297,0.01,0.01,9263.0,6205.0,1.0
lam[3163],-0.357,1.014,-2.082,1.231,0.01,0.011,10188.0,5809.0,1.0
lam[3164],-0.351,1.021,-1.98,1.345,0.01,0.011,10156.0,6226.0,1.0
lam[3165],-0.346,1.011,-1.999,1.313,0.01,0.011,10082.0,6369.0,1.0
lam[3166],-0.35,1.001,-1.911,1.378,0.01,0.011,9941.0,6240.0,1.0
lam[3167],-0.367,1.003,-1.964,1.325,0.01,0.01,9642.0,5837.0,1.0
lam[3168],-0.366,1.002,-1.97,1.293,0.01,0.01,9384.0,6178.0,1.0
lam[3169],-0.349,0.993,-2.036,1.208,0.01,0.01,9125.0,6469.0,1.0
lam[3170],-0.316,0.987,-1.925,1.302,0.01,0.01,9637.0,6387.0,1.0
lam[3171],-0.204,0.986,-1.774,1.464,0.01,0.011,9529.0,5346.0,1.0
lam[3172],0.138,0.978,-1.401,1.815,0.01,0.011,9327.0,5754.0,1.0
lam[3173],0.776,0.854,-0.676,2.147,0.008,0.007,11039.0,6317.0,1.0
lam[3174],1.314,0.706,0.158,2.447,0.006,0.005,14237.0,6174.0,1.0
lam[3175],1.322,0.787,-0.024,2.568,0.008,0.006,10549.0,6829.0,1.0
lam[3176],1.09,0.859,-0.231,2.601,0.008,0.007,10512.0,6231.0,1.0
lam[3177],0.998,0.867,-0.42,2.383,0.008,0.007,11456.0,5756.0,1.0
lam[3178],1.032,0.87,-0.428,2.419,0.009,0.008,9359.0,6281.0,1.0
lam[3179],1.065,0.854,-0.3,2.494,0.009,0.007,8247.0,5981.0,1.0
lam[3180],0.992,0.87,-0.387,2.445,0.01,0.008,7830.0,6277.0,1.0
lam[3181],0.833,0.863,-0.613,2.195,0.009,0.008,9413.0,5622.0,1.0
lam[3182],0.588,0.87,-0.79,2.042,0.008,0.008,11564.0,5420.0,1.0
lam[3183],0.25,0.939,-1.27,1.802,0.009,0.01,10321.0,5971.0,1.0
lam[3184],-0.055,0.978,-1.63,1.592,0.01,0.011,9777.0,6028.0,1.0
lam[3185],-0.242,0.988,-1.813,1.425,0.01,0.011,9626.0,6165.0,1.0
lam[3186],-0.323,0.983,-1.941,1.264,0.01,0.01,9530.0,6095.0,1.0
lam[3187],-0.346,0.987,-1.954,1.259,0.01,0.01,9739.0,6331.0,1.0
lam[3188],-0.344,1.007,-2.051,1.247,0.01,0.01,10037.0,5640.0,1.0
lam[3189],-0.34,1.017,-2.087,1.24,0.01,0.011,9813.0,6186.0,1.0
lam[3190],-0.338,1.01,-1.981,1.339,0.011,0.011,9031.0,6118.0,1.0
lam[3191],-0.334,0.998,-1.952,1.331,0.01,0.011,9806.0,5208.0,1.0
lam[3192],-0.336,0.984,-1.869,1.363,0.01,0.01,9571.0,6007.0,1.0
lam[3193],-0.34,0.978,-1.842,1.361,0.01,0.01,9323.0,6433.0,1.0
lam[3194],-0.347,0.997,-2.093,1.184,0.011,0.01,8998.0,6075.0,1.0
lam[3195],-0.353,1.017,-1.999,1.356,0.011,0.01,8808.0,6012.0,1.0
lam[3196],-0.357,1.012,-2.108,1.23,0.01,0.011,9629.0,6171.0,1.0
lam[3197],-0.351,0.998,-2.059,1.207,0.01,0.01,10179.0,6257.0,1.0
lam[3198],-0.307,0.993,-1.9,1.341,0.01,0.011,10145.0,6099.0,1.0
lam[3199],-0.224,0.994,-1.894,1.344,0.01,0.011,9469.0,6251.0,1.0
lam[3200],-0.237,0.998,-1.919,1.341,0.01,0.011,10155.0,5853.0,1.0
lam[3201],-0.313,0.98,-1.961,1.262,0.01,0.011,10438.0,6101.0,1.0
lam[3202],-0.349,0.981,-1.919,1.242,0.01,0.01,10576.0,6439.0,1.0
lam[3203],-0.354,1.013,-1.987,1.332,0.01,0.011,10462.0,6143.0,1.0
lam[3204],-0.353,1.027,-2.016,1.359,0.01,0.011,10592.0,6508.0,1.0
lam[3205],-0.351,1.025,-2.019,1.316,0.01,0.011,10126.0,6254.0,1.0
lam[3206],-0.353,1.01,-2.053,1.296,0.01,0.011,9894.0,6299.0,1.0
lam[3207],-0.365,1.005,-2.023,1.286,0.01,0.01,9869.0,6059.0,1.0
lam[3208],-0.363,1.009,-1.934,1.371,0.011,0.011,9103.0,5946.0,1.0
lam[3209],-0.347,0.991,-1.984,1.304,0.01,0.011,8959.0,6032.0,1.0
lam[3210],-0.324,0.974,-1.928,1.308,0.01,0.01,8877.0,5809.0,1.0
lam[3211],-0.239,0.981,-1.826,1.372,0.01,0.01,8808.0,6062.0,1.0
lam[3212],0.038,0.976,-1.564,1.641,0.01,0.011,9898.0,5887.0,1.0
lam[3213],0.551,0.879,-0.869,2.005,0.008,0.008,11500.0,6626.0,1.0
lam[3214],0.967,0.771,-0.197,2.317,0.007,0.006,13665.0,6606.0,1.0
lam[3215],0.958,0.824,-0.421,2.26,0.008,0.007,11179.0,6259.0,1.0
lam[3216],0.777,0.87,-0.63,2.234,0.008,0.008,11400.0,5970.0,1.0
lam[3217],0.753,0.887,-0.704,2.199,0.008,0.008,11573.0,5851.0,1.0
lam[3218],0.873,0.915,-0.558,2.464,0.01,0.008,8493.0,6263.0,1.0
lam[3219],0.993,0.927,-0.502,2.562,0.012,0.009,6267.0,6219.0,1.0
lam[3220],1.02,0.915,-0.576,2.442,0.012,0.009,5766.0,6442.0,1.0
lam[3221],0.972,0.888,-0.476,2.404,0.01,0.008,7238.0,5901.0,1.0
lam[3222],0.82,0.84,-0.537,2.214,0.008,0.007,10793.0,6213.0,1.0
lam[3223],0.492,0.888,-0.966,1.953,0.009,0.009,10542.0,6427.0,1.0
lam[3224],0.12,0.941,-1.46,1.619,0.009,0.011,10787.0,6326.0,1.0
lam[3225],-0.148,0.972,-1.812,1.366,0.009,0.011,10520.0,6051.0,1.0
lam[3226],-0.281,0.979,-1.932,1.257,0.01,0.011,9741.0,5796.0,1.0
lam[3227],-0.328,0.995,-1.966,1.254,0.01,0.011,9764.0,5913.0,1.0
lam[3228],-0.338,1.018,-1.93,1.402,0.01,0.011,9567.0,6014.0,1.0
lam[3229],-0.338,1.013,-1.88,1.442,0.011,0.011,9278.0,6436.0,1.0
lam[3230],-0.338,1.011,-2.014,1.253,0.011,0.011,8808.0,5697.0,1.0
lam[3231],-0.335,1.002,-2.085,1.184,0.011,0.011,9129.0,5901.0,1.0
lam[3232],-0.331,0.987,-1.98,1.289,0.01,0.01,9525.0,6665.0,1.0
lam[3233],-0.336,0.973,-1.914,1.21,0.01,0.01,9891.0,6618.0,1.0
lam[3234],-0.348,0.991,-1.859,1.377,0.01,0.01,9165.0,6334.0,1.0
lam[3235],-0.353,1.002,-2.003,1.296,0.011,0.01,8129.0,6028.0,1.0
lam[3236],-0.353,1.004,-1.875,1.43,0.011,0.01,8723.0,6201.0,1.0
