,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
f[Solomon Islands],-0.324,0.974,-1.959,1.253,0.012,0.017,7229.0,2994.0,1.0
f[Somalia],0.334,0.628,-0.681,1.328,0.008,0.009,7265.0,2739.0,1.0
f[South Africa],-0.581,0.913,-2.109,0.868,0.012,0.013,5658.0,2719.0,1.0
f[South Georgia and the South Sandwich Islands],-0.326,0.946,-1.861,1.242,0.011,0.016,6871.0,2609.0,1.0
f[South Korea],-0.424,0.952,-2.016,1.111,0.011,0.017,6983.0,2166.0,1.0
f[South Sudan],-0.311,0.944,-1.918,1.192,0.011,0.015,7354.0,3063.0,1.0
f[Spain],-0.581,0.937,-2.086,0.985,0.012,0.015,5881.0,2468.0,1.0
f[Spratly islands],-0.334,0.962,-1.861,1.302,0.012,0.015,6928.0,2985.0,1.0
f[Sri Lanka],0.328,0.613,-0.662,1.3,0.007,0.009,7822.0,2984.0,1.0
f[Sudan],0.964,0.517,0.167,1.842,0.006,0.005,7247.0,2870.0,1.0
f[Suriname],-0.15,0.792,-1.396,1.229,0.009,0.014,7913.0,2770.0,1.0
f[Svalbard and Jan Mayen],-0.311,0.983,-1.977,1.215,0.012,0.02,6634.0,2477.0,1.0
f[Swaziland],-0.486,0.987,-2.097,1.119,0.012,0.016,6302.0,2896.0,1.0
f[Sweden],-0.543,0.934,-2.107,0.957,0.012,0.015,5896.0,2972.0,1.0
f[Switzerland],-1.072,0.935,-2.545,0.468,0.017,0.012,3024.0,2812.0,1.0
f[Syria],-0.907,0.964,-2.439,0.746,0.016,0.014,3634.0,2686.0,1.0
f[Taiwan],-0.338,0.994,-1.962,1.303,0.011,0.017,7665.0,2666.0,1.0
f[Tajikistan],-0.389,0.982,-1.938,1.223,0.011,0.015,7949.0,3094.0,1.0
f[Tanzania],0.278,0.638,-0.751,1.316,0.008,0.01,6652.0,2943.0,1.0
f[Thailand],1.137,0.485,0.349,1.929,0.006,0.005,5904.0,3129.0,1.0
f[Timor-Leste],-0.112,0.714,-1.264,1.063,0.009,0.014,7856.0,2555.0,1.0
f[Togo],-0.409,0.805,-1.762,0.873,0.01,0.012,6065.0,3078.0,1.0
f[Tokelau],-0.295,0.938,-1.874,1.226,0.011,0.015,7587.0,2626.0,1.0
f[Tonga],-0.125,0.702,-1.27,0.963,0.009,0.012,6207.0,2887.0,1.0
f[Trinidad and Tobago],1.088,0.448,0.327,1.776,0.008,0.006,3382.0,2487.0,1.0
f[Tunisia],-0.388,0.945,-1.983,1.101,0.011,0.017,8049.0,2542.0,1.0
f[Turkey],-0.655,0.942,-2.254,0.843,0.014,0.013,4892.0,2446.0,1.0
f[Turkmenistan],-0.435,0.976,-1.922,1.234,0.013,0.016,6236.0,2582.0,1.0
f[Turks and Caicos Islands],0.152,0.635,-0.9,1.142,0.009,0.009,4682.0,3430.0,1.0
f[Tuvalu],-0.335,0.949,-1.885,1.213,0.011,0.016,8071.0,2670.0,1.0
f[Uganda],-0.293,0.93,-1.883,1.126,0.01,0.015,8112.0,3080.0,1.0
f[Ukraine],-0.402,0.962,-2.058,1.114,0.011,0.015,7292.0,2865.0,1.0
f[United Arab Emirates],-0.597,0.944,-2.148,0.969,0.012,0.013,6147.0,2794.0,1.0
f[United Kingdom],-0.701,0.958,-2.319,0.861,0.012,0.013,6417.0,2833.0,1.0
f[United States Minor Outlying Islands],-0.349,0.968,-1.923,1.268,0.012,0.015,6850.0,3008.0,1.0
f[United States],0.318,0.64,-0.71,1.361,0.007,0.009,8492.0,2714.0,1.0
f[Uruguay],-0.261,0.979,-1.965,1.323,0.012,0.019,7137.0,2640.0,1.0
f[Uzbekistan],-0.46,0.944,-2.117,1.049,0.011,0.014,7195.0,2975.0,1.0
f[Vanuatu],-0.069,0.694,-1.208,1.048,0.008,0.012,8677.0,2728.0,1.0
f[Vatican City],-1.012,0.891,-2.447,0.461,0.015,0.011,3519.0,3008.0,1.0
f[Venezuela],1.252,0.45,0.541,1.994,0.006,0.004,5751.0,3104.0,1.0
f[Vietnam],1.314,0.447,0.624,2.071,0.007,0.005,4595.0,3511.0,1.0
"f[Virgin Islands, U.S.]",0.378,0.44,-0.348,1.084,0.007,0.005,3712.0,3135.0,1.0
f[Wallis and Futuna],-0.151,0.704,-1.176,1.064,0.008,0.01,7555.0,3479.0,1.0
f[Western Sahara],-0.436,0.953,-2.119,1.033,0.011,0.016,7604.0,2402.0,1.0
f[Yemen],0.973,0.527,0.122,1.822,0.007,0.005,6866.0,2439.0,1.0
f[Zambia],-0.403,0.963,-2.025,1.135,0.011,0.016,7965.0,2908.0,1.0
f[Zimbabwe],-0.451,0.969,-2.059,1.091,0.011,0.016,8151.0,2876.0,1.0
