LOCATION_TYPE,ADMIN_LEVEL,GAUL_AD0,GAUL_AD1,GAUL_AD2,POINT_ID,UNIQUE_LOCATION,X,Y,YEAR,COUNTRY,REGION
polygon,2,182,1748,22648,-999,100369,6.859913,6.089976,1973,Nigeria,Africa
polygon,2,182,304,23016,-999,100737,3.895504,7.409858,1973,Nigeria,Africa
polygon,2,1013696,896,1013337,-999,1013337,110.385375,-7.022757,1973,Indonesia,Asia
polygon,2,240,1761,26423,-999,104144,100.504418,13.748735,1973,Thailand,Asia
polygon,0,200,-999,-999,-999,3324,-66.463766,18.225313,1973,Puerto Rico,Americas
polygon,2,153,1306,37456,-999,115177,101.395178,3.041086,1973,Malaysia,Asia
polygon,1,1011440,1013670,-999,-999,1013670,96.163321,16.959235,1973,Myanmar,Asia
polygon,0,87,-999,-999,-999,3211,-145.471768,-15.475612,1973,French Polynesia,Oceania
polygon,2,1013696,1791,1013522,-999,1013522,105.280708,-4.858707,1973,Indonesia,Asia
polygon,1,153,1711,-999,-999,40725,103.387315,2.047911,1973,Malaysia,Asia
polygon,1,153,12912,-999,-999,40731,100.888031,5.819937,1973,Malaysia,Asia
polygon,1,1011447,3059,-999,-999,1004098,105.023008,10.087455,1973,Viet Nam,Asia
polygon,1,153,2151,-999,-999,40759,102.207603,2.77725,1973,Malaysia,Asia
polygon,2,231,1012,25851,-999,103572,80.020395,6.869272,1973,Sri Lanka,Asia
polygon,1,240,61314,-999,-999,30397,100.113965,6.480503,1973,Thailand,Asia
polygon,0,245,-999,-999,-999,3369,-175.056339,-19.756511,1973,Tonga,Oceania
polygon,1,153,327,-999,-999,40754,102.306061,2.3256,1973,Malaysia,Asia
polygon,0,183,-999,-999,-999,3307,-169.860169,-19.050005,1973,Niue,Oceania
polygon,1,1011447,1670,-999,-999,1003916,105.752915,9.369809,1973,Viet Nam,Asia
polygon,1,153,2554,-999,-999,40788,100.401055,5.365574,1973,Malaysia,Asia
polygon,2,153,3392,37366,-999,115087,101.68961,3.144215,1973,Malaysia,Asia
polygon,1,1013696,1126,-999,-999,1016709,106.829966,-6.19261,1973,Indonesia,Asia
polygon,2,1011447,1719,1003287,-999,1003287,105.827366,21.036487,1974,Viet Nam,Asia
polygon,2,182,1748,22648,-999,100369,6.859913,6.089976,1974,Nigeria,Africa
polygon,2,182,304,23016,-999,100737,3.895504,7.409858,1974,Nigeria,Africa
polygon,0,83,-999,-999,-999,3207,177.893439,-17.689834,1974,Fiji,Oceania
polygon,2,240,1761,26427,-999,104148,100.543448,13.752286,1974,Thailand,Asia
polygon,2,240,1761,26423,-999,104144,100.504418,13.748735,1974,Thailand,Asia
polygon,0,200,-999,-999,-999,3324,-66.463766,18.225313,1974,Puerto Rico,Americas
polygon,2,153,1306,37456,-999,115177,101.395178,3.041086,1974,Malaysia,Asia
polygon,1,1011440,1013670,-999,-999,1013670,96.163321,16.959235,1974,Myanmar,Asia
polygon,0,87,-999,-999,-999,3211,-145.471768,-15.475612,1974,French Polynesia,Oceania
polygon,2,1013696,1791,1013522,-999,1013522,105.280708,-4.858707,1974,Indonesia,Asia
polygon,2,1011440,64829,1011890,-999,1011890,96.187912,21.973565,1974,Myanmar,Asia
polygon,1,240,3070,-999,-999,29953,99.536162,16.328773,1974,Thailand,Asia
polygon,1,1011447,3059,-999,-999,1004098,105.023008,10.087455,1974,Viet Nam,Asia
polygon,1,245,3006,-999,-999,30793,-175.056339,-19.756511,1974,Tonga,Oceania
polygon,0,245,-999,-999,-999,3369,-175.056339,-19.756511,1974,Tonga,Oceania
polygon,0,183,-999,-999,-999,3307,-169.860169,-19.050005,1974,Niue,Oceania
polygon,1,1011447,1670,-999,-999,1003916,105.752915,9.369809,1974,Viet Nam,Asia
polygon,1,153,2554,-999,-999,40788,100.401055,5.365574,1974,Malaysia,Asia
polygon,1,1013696,1126,-999,-999,1016709,106.829966,-6.19261,1974,Indonesia,Asia
polygon,0,173,-999,-999,-999,3297,166.92313,-0.528743,1974,Nauru,Oceania
polygon,2,1011447,1719,1003287,-999,1003287,105.827366,21.036487,1975,Viet Nam,Asia
polygon,2,182,1748,22648,-999,100369,6.859913,6.089976,1975,Nigeria,Africa
polygon,2,182,304,23016,-999,100737,3.895504,7.409858,1975,Nigeria,Africa
polygon,2,240,1761,26427,-999,104148,100.543448,13.752286,1975,Thailand,Asia
polygon,2,240,1761,26423,-999,104144,100.504418,13.748735,1975,Thailand,Asia
polygon,0,200,-999,-999,-999,3324,-66.463766,18.225313,1975,Puerto Rico,Americas
polygon,2,153,1306,37456,-999,115177,101.395178,3.041086,1975,Malaysia,Asia
polygon,0,87,-999,-999,-999,3211,-145.471768,-15.475612,1975,French Polynesia,Oceania
polygon,2,1013696,1791,1013522,-999,1013522,105.280708,-4.858707,1975,Indonesia,Asia
polygon,1,240,3070,-999,-999,29953,99.536162,16.328773,1975,Thailand,Asia
polygon,1,245,3006,-999,-999,30793,-175.056339,-19.756511,1975,Tonga,Oceania
polygon,0,183,-999,-999,-999,3307,-169.860169,-19.050005,1975,Niue,Oceania
polygon,2,1013696,3402,1013505,-999,1013505,110.374143,-7.802933,1975,Indonesia,Asia
polygon,1,153,2554,-999,-999,40788,100.401055,5.365574,1975,Malaysia,Asia
polygon,1,200,1351,-999,-999,43479,-66.057474,18.391046,1975,Puerto Rico,Americas
polygon,1,1013696,1126,-999,-999,1016709,106.829966,-6.19261,1975,Indonesia,Asia
polygon,1,1011447,1217,-999,-999,1006163,106.694737,10.744253,1975,Viet Nam,Asia
polygon,2,1011447,1719,1003287,-999,1003287,105.827366,21.036487,1976,Viet Nam,Asia
polygon,2,1011441,875,1001905,-999,1001905,143.039756,-3.695039,1976,Papua New Guinea,Oceania
polygon,2,1011441,875,1000636,-999,1000636,143.54564,-3.61601,1976,Papua New Guinea,Oceania
polygon,2,240,1761,26427,-999,104148,100.543448,13.752286,1976,Thailand,Asia
polygon,2,240,1761,26423,-999,104144,100.504418,13.748735,1976,Thailand,Asia
polygon,0,200,-999,-999,-999,3324,-66.463766,18.225313,1976,Puerto Rico,Americas
polygon,2,153,1306,37456,-999,115177,101.395178,3.041086,1976,Malaysia,Asia
polygon,0,87,-999,-999,-999,3211,-145.471768,-15.475612,1976,French Polynesia,Oceania
polygon,2,1013696,1791,1013522,-999,1013522,105.280708,-4.858707,1976,Indonesia,Asia
polygon,1,240,3070,-999,-999,29953,99.536162,16.328773,1976,Thailand,Asia
polygon,0,183,-999,-999,-999,3307,-169.860169,-19.050005,1976,Niue,Oceania
polygon,2,1013696,3402,1013505,-999,1013505,110.374143,-7.802933,1976,Indonesia,Asia
polygon,1,153,2554,-999,-999,40788,100.401055,5.365574,1976,Malaysia,Asia
polygon,1,1013696,1126,-999,-999,1016709,106.829966,-6.19261,1976,Indonesia,Asia
polygon,1,1011447,1217,-999,-999,1006163,106.694737,10.744253,1976,Viet Nam,Asia
polygon,2,1011447,1719,1003287,-999,1003287,105.827366,21.036487,1977,Viet Nam,Asia
polygon,2,63,398,14604,-999,92325,-82.359389,23.136614,1977,Cuba,Americas
polygon,2,240,1761,26427,-999,104148,100.543448,13.752286,1977,Thailand,Asia
polygon,2,240,1761,26423,-999,104144,100.504418,13.748735,1977,Thailand,Asia
polygon,0,200,-999,-999,-999,3324,-66.463766,18.225313,1977,Puerto Rico,Americas
polygon,2,153,1306,37456,-999,115177,101.395178,3.041086,1977,Malaysia,Asia
polygon,2,63,2741,14784,-999,92505,-76.232365,20.330245,1977,Cuba,Americas
polygon,2,1013696,1791,1013522,-999,1013522,105.280708,-4.858707,1977,Indonesia,Asia
polygon,1,240,3070,-999,-999,29953,99.536162,16.328773,1977,Thailand,Asia
polygon,1,100,522,-999,-999,20122,-61.600504,16.27991,1977,Guadeloupe,Americas
polygon,0,183,-999,-999,-999,3307,-169.860169,-19.050005,1977,Niue,Oceania
polygon,2,1013696,3402,1013505,-999,1013505,110.374143,-7.802933,1977,Indonesia,Asia
polygon,1,153,2554,-999,-999,40788,100.401055,5.365574,1977,Malaysia,Asia
polygon,1,1013696,1126,-999,-999,1016709,106.829966,-6.19261,1977,Indonesia,Asia
polygon,1,1011447,1217,-999,-999,1006163,106.694737,10.744253,1977,Viet Nam,Asia
polygon,1,63,398,-999,-999,18001,-82.269321,23.072677,1977,Cuba,Americas
polygon,2,1011447,1719,1003287,-999,1003287,105.827366,21.036487,1978,Viet Nam,Asia
